Journal name,Year,JIF,Rank," 9,483.00 ",,,,,,
CA-A CANCER JOURNAL FOR CLINICIANS,2022,254.7,1, 0.01 ,,,,,,
LANCET,2022,168.9,2, 0.02 ,,,,,,
NEW ENGLAND JOURNAL OF MEDICINE,2022,158.5,3, 0.03 ,,,,,,
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,2022,120.7,4, 0.04 ,,,,,,
NATURE REVIEWS DRUG DISCOVERY,2022,120.1,5, 0.05 ,,,,,,
NATURE REVIEWS MOLECULAR CELL BIOLOGY,2022,112.7,6, 0.06 ,,,,,,
BMJ-British Medical Journal,2022,105.7,7, 0.07 ,,,,,,
NATURE REVIEWS IMMUNOLOGY,2022,100.3,8, 0.08 ,,,,,,
NATURE REVIEWS MICROBIOLOGY,2022,88.1,9, 0.09 ,,,,,,
Nature Reviews Materials,2022,83.5,10, 0.11 ,,,,,,
NATURE MEDICINE,2022,82.9,11, 0.12 ,,,,,,
Nature Reviews Disease Primers,2022,81.5,12, 0.13 ,,,,,,
Nature Reviews Clinical Oncology,2022,78.8,13, 0.14 ,,,,,,
NATURE REVIEWS CANCER,2022,78.5,14, 0.15 ,,,,,,
Lancet Respiratory Medicine,2022,76.2,15, 0.16 ,,,,,,
World Psychiatry,2022,73.3,16, 0.17 ,,,,,,
Nature Reviews Gastroenterology & Hepatology,2022,65.1,17, 0.18 ,,,,,,
NATURE,2022,64.8,18, 0.19 ,,,,,,
CELL,2022,64.5,19, 0.20 ,,,,,,
Lancet Psychiatry,2022,64.3,20, 0.21 ,,,,,,
CHEMICAL REVIEWS,2022,62.1,21, 0.22 ,,,,,,
SCIENCE,2022,56.9,22, 0.23 ,,,,,,
Nature Energy,2022,56.7,23, 0.24 ,,,,,,
LANCET INFECTIOUS DISEASES,2022,56.3,24, 0.25 ,,,,,,
LANCET ONCOLOGY,2022,51.1,25, 0.26 ,,,,,,
ANNALS OF ONCOLOGY,2022,50.5,26, 0.27 ,,,,,,
CANCER CELL,2022,50.3,27, 0.28 ,,,,,,
Lancet Public Health,2022,50,28, 0.30 ,,,,,,
Nature Reviews Cardiology,2022,49.6,29, 0.31 ,,,,,,
LANCET NEUROLOGY,2022,48,30, 0.32 ,,,,,,
NATURE METHODS,2022,48,31, 0.33 ,,,,,,
NATURE BIOTECHNOLOGY,2022,46.9,32, 0.34 ,,,,,,
CHEMICAL SOCIETY REVIEWS,2022,46.2,33, 0.35 ,,,,,,
JOURNAL OF CLINICAL ONCOLOGY,2022,45.3,34, 0.36 ,,,,,,
Lancet Diabetes & Endocrinology,2022,44.5,35, 0.37 ,,,,,,
CELL RESEARCH,2022,44.1,36, 0.38 ,,,,,,
REVIEWS OF MODERN PHYSICS,2022,44.1,37, 0.39 ,,,,,,
NATURE REVIEWS GENETICS,2022,42.7,38, 0.40 ,,,,,,
Nature Reviews Earth & Environment,2022,42.1,39, 0.41 ,,,,,,
Nature Reviews Nephrology,2022,41.5,40, 0.42 ,,,,,,
NATURE MATERIALS,2022,41.2,41, 0.43 ,,,,,,
Living Reviews in Relativity,2022,40.6,42, 0.44 ,,,,,,
Nature Reviews Endocrinology,2022,40.5,43, 0.45 ,,,,,,
Joule,2022,39.8,44, 0.46 ,,,,,,
EUROPEAN HEART JOURNAL,2022,39.3,45, 0.47 ,,,,,,
Signal Transduction and Targeted Therapy,2022,39.3,46, 0.49 ,,,,,,
