journal_id,journal_name,field
32,ACADEMIC MEDICINE,Medicine
38,ACADEMY OF MANAGEMENT JOURNAL,"Business, Management and Accounting"
41,ACADEMY OF MANAGEMENT REVIEW,"Business, Management and Accounting"
18,Ab Imperio-Studies of New Imperial History and Nationalism in the Post-Soviet Space,Social Sciences
15,AAPS Journal,Immunology and Microbiology
40,Academy of Management Perspectives,"Business, Management and Accounting"
1,2D Materials,Materials Science
23,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,Mathematics
10,A & A Practice,Medicine
39,Academy of Management Learning & Education,"Business, Management and Accounting"
25,Aboriginal History,Social Sciences
11,A&C-Revista de Direito Administrativo & Constitucional,Social Sciences
7,3L-Language Linguistics Literature-The Southeast Asian Journal of English Language Studies,Arts and Humanities
33,Academic Pathology,Medicine
36,Academy of Management Annals,"Business, Management and Accounting"
17,AATCC Journal of Research,Engineering
20,Abanico Veterinario,Agricultural and Biological Sciences
4,3c Tecnologia,"Economics, Econometrics and Finance"
22,ABE Journal,Engineering
29,Academia-Revista Latinoamericana de Administracion,"Business, Management and Accounting"
37,Academy of Management Discoveries,"Business, Management and Accounting"
3,3C Empresa,"Economics, Econometrics and Finance"
5,3C Tic,Computer Science
24,aBIOTECH,Agricultural and Biological Sciences
42,Academy Review,Social Sciences
43,ACADIENSIS,Social Sciences
8,452 F-Revista de Teoria de la Literatura y Literatura Comparada,Arts and Humanities
27,Abriu-Estudos de Textualidade do Brasil Galicia e Portugal,Social Sciences
12,AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,Arts and Humanities
28,Academia y Virtualidad,Computer Science
26,Aboriginal Policy Studies,Social Sciences
19,Abakos,Social Sciences
14,AAPPS Bulletin,Computer Science
57,ACCOUNTING REVIEW,"Business, Management and Accounting"
47,ACCIDENT ANALYSIS AND PREVENTION,Engineering
58,ACCOUNTS OF CHEMICAL RESEARCH,Chemistry
64,ACI STRUCTURAL JOURNAL,Engineering
66,ACM COMPUTING SURVEYS,Computer Science
60,ACCREDITATION AND QUALITY ASSURANCE,Decision Sciences
62,ACG Case Reports Journal,Medicine
44,ACAROLOGIA,Agricultural and Biological Sciences
51,Accounting Auditing & Accountability Journal,"Business, Management and Accounting"
74,ACM Transactions on Architecture and Code Optimization,Computer Science
53,Accounting Historians Journal,"Business, Management and Accounting"
80,ACM Transactions on Computer-Human Interaction,Computer Science
72,ACM Transactions on Algorithms,Computer Science
65,ACM Communications in Computer Algebra,Computer Science
59,Accounts of Materials Research,Engineering
78,ACM Transactions on Computational Logic,Computer Science
61,ACE-Architecture City and Environment,Social Sciences
49,Acciones e Investigaciones Sociales,Social Sciences
46,ACCESS-Access to science business innovation in the digital economy,Social Sciences
